id;nom;theme;hue;fond;surface;texte;texte_faible;trait;accent;secteurs;source;statut
PA01;Terre battue;clair;45;oklch(0.97 0.008 45);oklch(0.94 0.012 45);oklch(0.22 0.020 45);oklch(0.45 0.020 45);oklch(0.86 0.015 45);oklch(0.52 0.140 45);artisanat, alimentaire, éducation;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA01;Terre battue;sombre;45;oklch(0.16 0.012 45);oklch(0.21 0.016 45);oklch(0.95 0.008 45);oklch(0.75 0.015 45);oklch(0.32 0.020 45);oklch(0.70 0.130 45);artisanat, alimentaire, éducation;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA02;Ardoise nordique;clair;230;oklch(0.97 0.008 230);oklch(0.94 0.012 230);oklch(0.22 0.020 230);oklch(0.45 0.020 230);oklch(0.86 0.015 230);oklch(0.52 0.140 230);SaaS, productivité, outil interne;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA02;Ardoise nordique;sombre;230;oklch(0.16 0.012 230);oklch(0.21 0.016 230);oklch(0.95 0.008 230);oklch(0.75 0.015 230);oklch(0.32 0.020 230);oklch(0.70 0.130 230);SaaS, productivité, outil interne;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA03;Forêt;clair;155;oklch(0.97 0.008 155);oklch(0.94 0.012 155);oklch(0.22 0.020 155);oklch(0.45 0.020 155);oklch(0.86 0.015 155);oklch(0.50 0.130 155);environnement, agriculture, énergie;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA03;Forêt;sombre;155;oklch(0.16 0.012 155);oklch(0.21 0.016 155);oklch(0.95 0.008 155);oklch(0.75 0.015 155);oklch(0.32 0.020 155);oklch(0.70 0.120 155);environnement, agriculture, énergie;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA04;Encre et cuivre;clair;25;oklch(0.96 0.010 25);oklch(0.93 0.014 25);oklch(0.20 0.022 25);oklch(0.44 0.022 25);oklch(0.85 0.018 25);oklch(0.51 0.150 25);édition, culture, patrimoine;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA04;Encre et cuivre;sombre;25;oklch(0.15 0.014 25);oklch(0.20 0.018 25);oklch(0.94 0.010 25);oklch(0.74 0.018 25);oklch(0.31 0.022 25);oklch(0.71 0.140 25);édition, culture, patrimoine;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA05;Bleu institutionnel;clair;250;oklch(0.98 0.006 250);oklch(0.95 0.010 250);oklch(0.23 0.018 250);oklch(0.46 0.018 250);oklch(0.87 0.012 250);oklch(0.48 0.150 250);secteur public, santé, transport;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA05;Bleu institutionnel;sombre;250;oklch(0.17 0.010 250);oklch(0.22 0.014 250);oklch(0.96 0.006 250);oklch(0.76 0.012 250);oklch(0.33 0.018 250);oklch(0.72 0.130 250);secteur public, santé, transport;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA06;Prune;clair;330;oklch(0.96 0.010 330);oklch(0.93 0.014 330);oklch(0.21 0.022 330);oklch(0.44 0.022 330);oklch(0.85 0.018 330);oklch(0.50 0.150 330);mode, beauté, événement;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA06;Prune;sombre;330;oklch(0.16 0.014 330);oklch(0.21 0.018 330);oklch(0.95 0.010 330);oklch(0.75 0.018 330);oklch(0.32 0.022 330);oklch(0.72 0.140 330);mode, beauté, événement;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA07;Sable et olive;clair;110;oklch(0.97 0.010 110);oklch(0.94 0.014 110);oklch(0.22 0.020 110);oklch(0.45 0.020 110);oklch(0.86 0.016 110);oklch(0.49 0.120 110);tourisme, bien-être, hôtellerie;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA07;Sable et olive;sombre;110;oklch(0.16 0.012 110);oklch(0.21 0.016 110);oklch(0.95 0.008 110);oklch(0.75 0.016 110);oklch(0.32 0.020 110);oklch(0.71 0.110 110);tourisme, bien-être, hôtellerie;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA08;Acier;clair;210;oklch(0.96 0.006 210);oklch(0.92 0.010 210);oklch(0.21 0.016 210);oklch(0.44 0.016 210);oklch(0.84 0.012 210);oklch(0.53 0.140 210);industrie, logistique, maintenance;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA08;Acier;sombre;210;oklch(0.15 0.010 210);oklch(0.20 0.014 210);oklch(0.95 0.006 210);oklch(0.75 0.012 210);oklch(0.31 0.016 210);oklch(0.72 0.130 210);industrie, logistique, maintenance;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA09;Bordeaux;clair;15;oklch(0.96 0.010 15);oklch(0.93 0.014 15);oklch(0.20 0.022 15);oklch(0.43 0.022 15);oklch(0.85 0.018 15);oklch(0.47 0.150 15);vin, gastronomie, art de vivre;https://www.w3.org/TR/css-color-4/#ok-lab;ok
PA09;Bordeaux;sombre;15;oklch(0.15 0.014 15);oklch(0.20 0.018 15);oklch(0.94 0.010 15);oklch(0.74 0.018 15);oklch(0.31 0.022 15);oklch(0.71 0.140 15);vin, gastronomie, art de vivre;https://www.w3.org/TR/css-color-4/#ok-lab;ok
