id;display;corps;utilitaire;dispo;ton;secteurs;source;statut
TY01;Bricolage Grotesque;Source Serif 4;JetBrains Mono;google;bricolé, direct, chaleureux;artisanat, éducation, association;https://fonts.google.com/specimen/Bricolage+Grotesque;ok
TY02;Archivo Expanded;Public Sans;Geist Mono;google;institutionnel, franc, sans détour;secteur public, transport, santé;https://fonts.google.com/specimen/Archivo;ok
TY03;Clash Display;Switzer;Azeret Mono;fontshare;affirmé, contemporain, urbain;mode, média, événement;https://www.fontshare.com/fonts/clash-display;ok
TY04;Zodiak;Satoshi;Martian Mono;fontshare;littéraire, tranchant, singulier;édition, culture, conseil;https://www.fontshare.com/fonts/zodiak;ok
TY05;Literata;Work Sans;Fira Code;google;patient, lisible, studieux;recherche, formation, documentation;https://fonts.google.com/specimen/Literata;ok
TY06;Unbounded;Manrope;Red Hat Mono;google;géométrique, sûr, technologique;logiciel, industrie, énergie;https://fonts.google.com/specimen/Unbounded;ok
TY07;Faustina;Karla;Spline Sans Mono;google;humain, posé, accueillant;santé, social, mutuelle;https://fonts.google.com/specimen/Faustina;ok
TY08;Cabinet Grotesk;General Sans;Chivo Mono;fontshare;net, professionnel, sans esbroufe;B2B, finance, juridique;https://www.fontshare.com/fonts/cabinet-grotesk;ok
TY09;Gambetta;Supreme;JetBrains Mono;fontshare;classique revisité, cultivé;patrimoine, gastronomie, vin;https://www.fontshare.com/fonts/gambetta;ok
TY10;Anybody;Commissioner;Geist Mono;google;variable, joueur, mécanique;jeu, sport, mobilité;https://fonts.google.com/specimen/Anybody;ok
TY11;Petrona;Figtree;Fira Code;google;doux, éditorial, sans raideur;alimentation, tourisme, bien-être;https://fonts.google.com/specimen/Petrona;ok
TY12;Familjen Grotesk;Spectral;Azeret Mono;google;nordique, calme, précis;architecture, design, immobilier;https://fonts.google.com/specimen/Familjen+Grotesk;ok
TY13;Melodrama;Sentient;Martian Mono;fontshare;théâtral, sensuel, mémorable;beauté, parfum, hôtellerie;https://www.fontshare.com/fonts/melodrama;ok
TY14;Chivo;Alegreya;Red Hat Mono;google;journalistique, dense, crédible;presse, ONG, institution;https://fonts.google.com/specimen/Chivo;ok
TY15;Gabarito;Be Vietnam Pro;Spline Sans Mono;google;rond, franc, accessible;grand public, service, retail;https://fonts.google.com/specimen/Gabarito;ok
TY16;Bespoke Serif;Ranade;Chivo Mono;fontshare;signé, éditorial, haut de gamme;luxe, joaillerie, conseil;https://www.fontshare.com/fonts/bespoke-serif;ok
TY17;Schibsted Grotesk;Vollkorn;JetBrains Mono;google;nordique, sérieux, chaleureux;banque, assurance, coopérative;https://fonts.google.com/specimen/Schibsted+Grotesk;ok
TY18;Panchang;Erode;Geist Mono;fontshare;anguleux, jeune, affirmé;musique, streetwear, communauté;https://www.fontshare.com/fonts/panchang;ok
TY19;Rethink Sans;Bitter;Fira Code;google;pragmatique, robuste, terrain;logistique, BTP, maintenance;https://fonts.google.com/specimen/Rethink+Sans;ok
TY20;Onest;Epilogue;Azeret Mono;google;neutre chaud, discret, moderne;SaaS, productivité, outil interne;https://fonts.google.com/specimen/Onest;ok
